Geo,RetEmp,SvcEmp,TotEmp,Year
530330239011,3,24,76.0,2018
530330239012,7,22,86.0,2018
530330239013,1,9,87.0,2018
530330239021,0,6,69.0,2018
530330239022,32,9,113.0,2018
530330240011,162,49,2531.0,2018
530330240012,1,5,40.0,2018
530330240013,39,23,641.0,2018
530330240021,1,35,81.0,2018
530330240022,9,111,315.0,2018
530330240023,2,21,87.0,2018
530330241001,2,6,28.0,2018
530330241002,3,34,115.0,2018
530330241003,4,38,477.0,2018
530330242001,5,60,129.0,2018
530330242002,14,27,193.0,2018
530330243011,88,67,773.0,2018
530330243012,260,192,2111.0,2018
530330243013,13,6,98.0,2018
530330243021,5,17,158.0,2018
530330243022,0,32,198.0,2018
530330243023,0,13,62.0,2018
530330244001,1,224,1260.0,2018
530330244002,2,5,57.0,2018
530330245001,0,12,102.0,2018
530330245002,0,23,51.0,2018
530330245003,0,63,490.0,2018
530330246011,0,3,38.0,2018
530330246012,1,9,155.0,2018
530330246013,0,0,0.0,2018
530330246021,67,119,553.0,2018
530330246022,0,16,230.0,2018
530330247011,0,2,12.0,2018
530330247012,13,29,169.0,2018
530330247013,12,24,370.0,2018
530330247031,4,109,270.0,2018
530330247032,0,0,0.0,2018
530330247033,1,0,268.0,2018
530330247041,4,3,31.0,2018
530330247042,0,0,0.0,2018
530330247043,5,61,116.0,2018
530330248001,148,51,1931.0,2018
530330248002,56,19,2073.0,2018
530330248003,1303,292,8985.0,2018
530330249011,0,9,250.0,2018
530330249012,1,5,112.0,2018
530330249013,0,10,158.0,2018
530330249014,1,13,52.0,2018
530330249021,0,0,109.0,2018
530330249022,0,0,0.0,2018
530330249023,0,0,0.0,2018
530330249041,0,0,0.0,2018
530330249042,0,0,0.0,2018
530330249051,0,0,0.0,2018
530330249052,6,16,223.0,2018
530330250011,13,3,134.0,2018
530330250012,67,3,295.0,2018
530330250013,42,9,221.0,2018
530330250014,1,8,105.0,2018
530330250051,0,56,133.0,2018
530330250052,41,144,419.0,2018
